E00292	R00008	E02211
E00044	R00013	E01963
E02634	R00012	E01675
E01769	R00018	E01164
E00775	R00016	E00618
E00531	R00005	E00355
E01607	R00005	E00729
E01358	R00019	E02336
E02066	R00018	E00193
E00109	R00015	E01282
E01171	R00012	E00848
E00241	R00019	E01292
E01328	R00010	E01767
E01587	R00012	E00075
E01863	R00010	E01932
E00521	R00010	E01981
E01477	R00001	E00160
E01752	R00000	E02288
E01861	R00013	E01822
E01763	R00006	E00355
E00000	R00018	E01652
E02519	R00015	E01143
E02188	R00013	E00996
E00889	R00016	E00884
E02438	R00000	E00029
E01335	R00011	E00515
E00178	R00000	E02673
E01483	R00010	E01111
E00108	R00003	E00692
E00148	R00018	E02015
E02489	R00012	E01712
E00930	R00019	E00614
E02227	R00018	E01733
E00718	R00018	E01907
E02478	R00002	E02308
E01218	R00000	E02242
E00690	R00002	E02656
E02286	R00018	E01217
E01123	R00011	E02580
E02044	R00016	E00189
E01397	R00012	E01328
E01604	R00013	E01493
E02663	R00001	E02326
E00718	R00018	E01021
E01769	R00018	E01390
E00044	R00005	E00247
E00770	R00014	E01525
E01427	R00010	E02370
E01082	R00002	E01074
E00229	R00005	E02562
E01061	R00018	E01169
E00195	R00012	E02284
E00949	R00001	E00773
E00079	R00018	E01169
E02657	R00012	E00924
E00628	R00008	E00965
E02367	R00018	E00703
E02381	R00018	E01169
E02268	R00001	E01009
E00016	R00004	E00856
E00898	R00018	E01902
E00635	R00005	E01619
E01266	R00003	E00335
E00953	R00012	E02141
E01235	R00004	E00511
E00998	R00011	E01296
E00834	R00003	E02298
E00956	R00003	E01202
E01605	R00018	E02103
E02251	R00002	E02507
E00288	R00007	E00578
E01723	R00004	E00976
E02054	R00019	E01785
E00148	R00018	E01390
E01289	R00016	E01391
E02114	R00001	E00609
E01221	R00012	E00479
E00501	R00010	E01378
E01830	R00017	E00885
E00898	R00018	E00076
E02164	R00005	E00621
E00459	R00015	E00976
E00423	R00019	E01012
E00770	R00014	E01562
E02390	R00005	E02370
E01389	R00010	E01718
E00148	R00018	E01164
E01061	R00018	E01021
E00458	R00019	E01125
E01506	R00013	E01963
E02227	R00018	E01021
E02155	R00004	E01566
E01158	R00014	E01639
E01024	R00002	E01422
E01389	R00010	E01649
E02499	R00002	E01844
E01721	R00006	E01417
E01264	R00018	E01169
E01536	R00019	E01993
E01389	R00010	E02208
E00079	R00018	E01733
E01121	R00012	E02334
E00187	R00018	E01068
E01752	R00000	E00370
E00107	R00003	E00264
E00775	R00016	E00042
E01663	R00001	E02607
E00271	R00008	E02395
E01871	R00002	E00098
E02410	R00000	E00212
E01181	R00016	E01391
E01123	R00011	E00789
E02661	R00006	E02276
E00109	R00008	E02143
E01611	R00002	E01945
E01715	R00012	E00309
E02078	R00004	E00856
E00769	R00008	E01930
E02044	R00016	E00884
E00728	R00012	E00848
E01466	R00012	E00488
E00340	R00017	E00536
E01709	R00007	E02109
E01751	R00002	E02696
E00728	R00012	E00907
E01921	R00002	E00591
E00044	R00013	E02140
E02076	R00015	E01207
E02608	R00007	E02042
E01142	R00012	E01843
E01171	R00012	E01712
E00743	R00010	E00427
E00161	R00019	E01499
E00898	R00018	E00218
E00187	R00018	E01021
E02138	R00001	E00812
E02381	R00018	E01217
E00956	R00003	E00578
E02489	R00012	E00330
E01274	R00000	E02098
E02634	R00012	E02284
E01763	R00006	E00801
E00506	R00007	E02042
E00086	R00002	E01286
E00434	R00012	E00330
E01034	R00015	E01207
E02071	R00019	E00511
E01235	R00004	E01521
E01519	R00014	E00690
E01373	R00018	E02671
E01215	R00002	E01875
E00945	R00004	E02149
E02358	R00018	E02015
E00086	R00000	E01911
E01348	R00002	E02437
E02044	R00016	E02205
E02631	R00006	E02528
E02279	R00016	E00897
E00743	R00010	E01767
E01605	R00018	E01116
E01221	R00012	E00330
E02071	R00009	E01126
E02670	R00008	E02173
E02283	R00004	E00511
E01241	R00018	E02679
E01085	R00008	E02622
E00087	R00018	E02671
E01317	R00015	E02302
E00215	R00015	E02473
E01654	R00020	E02583
E00671	R00012	E01410
E02260	R00010	E00427
E01551	R00006	E01398
E00026	R00006	E02392
E00687	R00018	E01902
E01397	R00012	E00479
E01605	R00018	E00321
E02067	R00003	E01536
E00242	R00019	E00479
E01220	R00012	E00149
E02580	R00018	E02440
E00622	R00018	E01390
E01763	R00006	E02656
E02227	R00018	E02671
E01121	R00012	E00848
E02603	R00000	E02531
E02049	R00007	E02027
E01495	R00010	E01455
E00956	R00003	E02298
E00109	R00015	E01415
E02068	R00010	E01932
E01993	R00006	E02392
E01104	R00000	E01191
E01618	R00008	E01088
E00501	R00006	E02276
E02666	R00008	E01539
E01264	R00018	E01470
E01221	R00012	E02334
E01714	R00002	E01850
E00421	R00008	E01078
E02067	R00003	E01635
E01356	R00011	E02580
E02279	R00016	E01621
E01990	R00013	E01571
E01062	R00014	E00780
E00520	R00008	E01205
E00860	R00015	E00347
E02481	R00019	E02183
E01830	R00017	E02114
E01236	R00006	E01780
E02169	R00005	E01938
E01935	R00016	E01334
E00543	R00011	E02089
E02239	R00002	E02217
E00148	R00018	E01116
E02138	R00002	E02681
E00874	R00002	E00510
E02531	R00012	E01656
E00187	R00018	E02440
E00097	R00005	E00446
E02657	R00012	E00907
E01152	R00002	E00436
E01688	R00005	E02219
E00249	R00006	E01417
E01191	R00012	E01675
E01466	R00012	E01287
E02607	R00005	E01327
E01397	R00019	E02129
E01182	R00002	E00207
E01227	R00012	E00907
E02519	R00015	E01481
E02436	R00014	E00780
E01172	R00017	E01735
E00290	R00004	E01680
E01549	R00005	E01816
E02607	R00005	E00984
E01587	R00012	E00045
E02009	R00002	E01626
E02520	R00019	E00019
E02511	R00008	E02433
E02211	R00000	E00489
E01226	R00014	E01525
E01237	R00003	E02140
E00086	R00000	E01925
E01191	R00012	E00479
E02661	R00006	E01429
E01551	R00006	E00190
E01551	R00006	E00791
E02621	R00009	E01126
E00144	R00012	E00462
E00377	R00005	E00123
E00719	R00006	E02276
E00333	R00001	E00595
E00079	R00018	E01217
E00702	R00018	E00457
